Page URL,Page Title,Page Type,Template Used,Inbound Links,Outbound Links,Human Identified Issues,Issue Severity,Issue Type,Detected By,Fix Status,PR Link,Last Reviewed Date,Video Embed Working,Audio Embed Working,Image Assets Loaded,Mobile Responsive,Screenshot Path
advancements-by-asabaal.html,Advancements by Asabaal | Asabaal Ventures,About Page,Supabase Integrated,3,9,Missing H1 tag - Critical SEO and accessibility issue,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/advancements-by-asabaal.png
asabaal-projects.html,Projects | Asabaal Ventures,About Page,Standard Template,1,8,Missing H1 tag - Critical SEO and accessibility issue,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/asabaal-projects.png
asabaal.html,Asabaal | Asabaal Ventures,About Page,Standard Template,2,9,Missing H1 tag - Critical SEO and accessibility issue,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/asabaal.png
playlists.html,Playlists | Asabaal Ventures,About Page,Standard Template,0,9,Missing H1 tag - Critical SEO and accessibility issue,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/playlists.png
life-is-your-word.html,Life is your Word | Asabaal's Amusements,Series Episode,Series Episode Template,1,8,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/life-is-your-word.png
life-is-your-word/season-0.html,Season 0: Pilot | Life is your Word,Series Episode,Series Episode Template,0,8,Missing H1 tag - Critical SEO and accessibility issue; Footer element referenced but no .footer CSS defined - May cause layout issues,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/life-is-your-word_season_0.png
life-is-your-word/season-1.html,Season 1 | Life is your Word,Series Episode,Amusements Hub,0,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/life-is-your-word_season-1.png
musical-poetry.html,Musical Poetry with Asabaal | Asabaal's Amusements,Series Episode,Amusements Hub,1,8,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/musical-poetry.png
musical-poetry/musical-poetry-template.html,Musical Poetry with Asabaal | Episode Template,Series Episode,Amusements Hub,0,7,,,,Automated Scan,,,2026-02-07,N/A,Yes,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/musical-poetry_musical-poetry-template.png
musical-poetry/season-1.html,Season 1 | Musical Poetry with Asabaal,Series Episode,Series Episode Template,0,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/musical-poetry_season-1.png
musical-poetry/season-1/episode-1.html,Episode 1: Who do you think I am? | Musical Poetry with Asabaal,Series Episode,Amusements Hub,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/musical-poetry_season-1_episode-1.png
open-source-model.html,Kingdom Cooperative Business Model - Asabaal Ventures,Special Feature,Standard Template,0,8,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/open-source-model.png
vision_2054_page.html,Vision 2054: The Great Reconciliation | Asabaal Ventures,Special Feature,Standard Template,2,8,Missing H1 tag - Critical SEO and accessibility issue,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/vision_2054_page.png
blog/post-asabaal-ventures-dawn-new-era.html,Asabaal Ventures: The Dawn of a New Era | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-asabaal-ventures-dawn-new-era.png
blog/post-by-my-hand-discarding-hurt-for-unity.html,By My Hand: Discarding Hurt for Unity | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-by-my-hand-discarding-hurt-for-unity.png
blog/post-charting-the-course-for-a-more-fulfilling-future.html,Charting the Course for a More Fulfilling Future | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-charting-the-course-for-a-more-fulfilling-future.png
blog/post-collaborative-business-models-ethical-advertising.html,Collaborative Business Models & Ethical Advertising | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-collaborative-business-models-ethical-advertising.png
blog/post-electric-pulse-journey-self-discovery-transformation.html,Electric Pulse: A Journey of Self-Discovery and Transformation | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-electric-pulse-journey-self-discovery-transformation.png
blog/post-embracing-the-age-of-creativity.html,Embracing the Age of Creativity | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-embracing-the-age-of-creativity.png
blog/post-ethical-advocacy-future-education.html,Ethical Advocacy & The Future of Education | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-ethical-advocacy-future-education.png
blog/post-free-as-a-bird-spiritual-journey-self-discovery-liberation.html,Free As A Bird: A Spiritual Journey of Self-Discovery and Liberation | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-free-as-a-bird-spiritual-journey-self-discovery-liberation.png
blog/post-human-creativity-ai-ethical-social-platforms.html,Human Creativity with AI & Ethical Social Platforms | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-human-creativity-ai-ethical-social-platforms.png
blog/post-keep-it-simple-simple-indeed.html,Keep It Simple - Simple Indeed | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-keep-it-simple-simple-indeed.png
blog/post-logical-fallacies-lets-start-thinking-together.html,Logical Fallacies - Let's Start Thinking Together | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-logical-fallacies-lets-start-thinking-together.png
blog/post-microaggression-becoming-cognizant-of-our-actions.html,Microaggression: Becoming Cognizant of Our Actions | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-microaggression-becoming-cognizant-of-our-actions.png
blog/post-more-than-me-how-my-beliefs-evolved.html,"""More Than Me"": How My Beliefs Evolved | Asabaal Ventures Blog",Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-more-than-me-how-my-beliefs-evolved.png
blog/post-no-fighting-the-evil-inside-yourself.html,No - Fighting the Evil Inside of Yourself | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-no-fighting-the-evil-inside-yourself.png
blog/post-omniscient-what-does-that-actually-mean.html,Omniscient - What Does That Actually Mean? | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-omniscient-what-does-that-actually-mean.png
blog/post-power-of-pain-you-already-feel-it-leverage-it.html,Power of Pain - You Already Feel It; Leverage It | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-power-of-pain-you-already-feel-it-leverage-it.png
blog/post-probably-right-accepting-criticism-with-humility.html,"Probably Right: You're Probably Right, And So Am I, Even When It Hurts | Asabaal Ventures Blog",Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-probably-right-accepting-criticism-with-humility.png
blog/post-respect-the-fundamental-human-right.html,Respect: The Fundamental Human Right | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-respect-the-fundamental-human-right.png
blog/post-special-we-are-all-special-this-is-a-special-time-in-history-lets-get-moving.html,Special: We are all special. This is a special time in history. Let's get moving! | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-special-we-are-all-special-this-is-a-special-time-in-history-lets-get-moving.png
blog/post-the-future-of-work-and-personal-growth-cultivating-fulfillment-in-the-changing-landscape-of-work.html,The Future of Work and Personal Growth - Cultivating Fulfillment in the Changing Landscape of Work | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-the-future-of-work-and-personal-growth-cultivating-fulfillment-in-the-changing-landscape-of-work.png
blog/post-unity-of-truth-global-peace-inevitable-superintelligence.html,The Unity of Truth: My Next Claim Is That Global Peace Is Inevitable In A World With Democratized Superintelligence | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-unity-of-truth-global-peace-inevitable-superintelligence.png
blog/post-unveiling-the-future-of-asabaal-ventures.html,Unveiling the Future of Asabaal Ventures | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-unveiling-the-future-of-asabaal-ventures.png
blog/post-what-happens-when-queer-christian-remixes-anikes-send-that.html,What Happens When A Queer Christian Remixes Anike's 'Send That'? | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-what-happens-when-queer-christian-remixes-anikes-send-that.png
blog/post-why-a-plea-for-change.html,Why: A Plea for Change | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-why-a-plea-for-change.png
blog/post-why-i-entered-the-ai-remix-competition.html,Why I Entered the AI Remix Competition | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-why-i-entered-the-ai-remix-competition.png
blog/post-your-nature-starting-conversation-intuitive-understanding-god.html,Your Nature - Starting A Conversation On Intuitive Understanding of God | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/blog_post-your-nature-starting-conversation-intuitive-understanding-god.png
visualizations/complete-implementation-timeline.html,Complete Implementation Timeline - Music + Gaming + Finance Integration,Visualization,Standard Template,0,0,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/visualizations_complete-implementation-timeline.png
visualizations/cooperative-kingdom-ecosystem-fixed.html,Kingdom Cooperative Ecosystem - Engineering Global Peace Through Distributed Power,Visualization,Standard Template,2,0,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/visualizations_cooperative-kingdom-ecosystem-fixed.png
visualizations/implementation-timeline.html,Enhanced Implementation Timeline - Music + Gaming Integration,Visualization,Standard Template,0,0,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/visualizations_implementation-timeline.png
visualizations/kingdom-power-distribution-model.html,Kingdom Power Distribution Model - Engineering Global Peace,Visualization,Standard Template,0,0,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/visualizations_kingdom-power-distribution-model.png
about-founder.html,About Founder | Asabaal Ventures,Visualization,Standard Template,1,9,Missing H1 tag - Critical SEO and accessibility issue,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/about-founder.png
what-we-do.html,What We Do | Asabaal Ventures,Visualization,Standard Template,1,8,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/what-we-do.png
build-with-me.html,Build With Me | Asabaal Ventures,Visualization,Standard Template,0,8,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/build-with-me.png
build-with-you.html,Build With You | Asabaal Ventures,Visualization,Standard Template,0,8,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/build-with-you.png
partner.html,Partner With Us | Asabaal Ventures,Visualization,Standard Template,1,7,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/partner.png
services.html,Services | Asabaal Ventures,Visualization,Revenue Reporting,1,8,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/services.png
dispatch-revenue-reporting.html,Revenue Reporting System | Pricing & Demo Preview,Visualization,Revenue Reporting,4,12,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/dispatch-revenue-reporting.png
unity-remix-contest.html,Unity Remix Contest - Entry Requirements,Visualization,Standard Template,3,7,Missing H1 tag - Critical SEO and accessibility issue,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/unity-remix-contest.png
consume.html,Consume Mode | Asabaal Ventures,Content Page,Amusements Hub,58,4,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/consume.png
detailed_file_analysis.html,File Analysis - Detailed Breakdown,Content Page,Blog Template,0,0,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/detailed_file_analysis.png
discord-signup-example.html,Join Our Discord Community,Content Page,Supabase Integrated,0,0,Missing H1 tag - Critical SEO and accessibility issue,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/discord-signup-example.png
do-business.html,Do Business | Asabaal Ventures,Content Page,Standard Template,58,5,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/do-business.png
interact.html,Interact Mode | Asabaal Ventures,Content Page,Game Template,58,6,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/interact.png
interactive-carrier-revenue-report.html,Interactive Carrier Revenue Report | Coming Soon,Content Page,Revenue Reporting,1,5,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/interactive-carrier-revenue-report.png
learn.html,Learn Mode | Asabaal Ventures,Content Page,Standard Template,58,6,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/learn.png
legal-documents.html,Legal Documents | Asabaal Ventures,Content Page,Standard Template,0,5,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/legal-documents.png
navigation-graph-interactive.html,Website Navigation Graph - Interactive Visualization,Content Page,Standard Template,0,2,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/navigation-graph-interactive.png
pr_analysis.html,PR Analysis: brand-integration → main,Content Page,Blog Template,0,0,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/pr_analysis.png
products.html,Merch Store | Asabaal Ventures,Content Page,Standard Template,0,3,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/products.png
resume_cv/asabaal_horan_cv_202601.html,"Asabaal Horan, Ph.D. - Resume",Resume/CV,Resume Template,1,1,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/resume_cv_asabaal_horan_cv_202601.png
singles.html,Singles | Asabaal,Content Page,Standard Template,2,6,Missing H1 tag - Critical SEO and accessibility issue,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes,/mnt/storage/repos/multisensory-experience-website/site_ops/screenshots/singles.png
