Page URL,Page Title,Page Type,Template Used,Inbound Links,Outbound Links,Agent Identified Issues,Human Identified Issues,Issue Severity,Issue Type,Detected By,Fix Status,PR Link,Last Reviewed Date,Video Embed Working,Audio Embed Working,Image Assets Loaded,Mobile Responsive
blog/post-special-we-are-all-special-this-is-a-special-time-in-history-lets-get-moving.html,Special: We are all special. This is a special time in history. Let's get moving! | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-the-future-of-work-and-personal-growth-cultivating-fulfillment-in-the-changing-landscape-of-work.html,The Future of Work and Personal Growth - Cultivating Fulfillment in the Changing Landscape of Work | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes
blog/post-unity-of-truth-global-peace-inevitable-superintelligence.html,The Unity of Truth: My Next Claim Is That Global Peace Is Inevitable In A World With Democratized Superintelligence | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-unveiling-the-future-of-asabaal-ventures.html,Unveiling the Future of Asabaal Ventures | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes
blog/post-what-happens-when-queer-christian-remixes-anikes-send-that.html,What Happens When A Queer Christian Remixes Anike's 'Send That'? | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-why-a-plea-for-change.html,Why: A Plea for Change | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-why-i-entered-the-ai-remix-competition.html,Why I Entered the AI Remix Competition | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blog/post-your-nature-starting-conversation-intuitive-understanding-god.html,Your Nature - Starting A Conversation On Intuitive Understanding of God | Asabaal Ventures Blog,Blog Post,Blog Post Template,0,7,Missing image files: ../assets/images/profiles/in-love-and-unity.png,,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
blogs-selection.html,Blogs | Asabaal Ventures,Content Hub,Standard Template,0,9,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
brands.html,Our Brands | Asabaal Ventures,About Page,Standard Template,9,8,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
connect.html,Connect - Join Our Discord Community | Asabaal Ventures,Utility Page,Supabase Integrated,51,6,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
consume.html,Consume Mode | Asabaal Ventures,Content Page,Amusements Hub,45,4,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
detailed_file_analysis.html,File Analysis - Detailed Breakdown,Content Page,Blog Template,0,0,,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes
discord-signup-example.html,Join Our Discord Community,Content Page,Supabase Integrated,0,0,Missing H1 tag,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes
do-business.html,Do Business | Asabaal Ventures,Content Page,Standard Template,45,3,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
games.html,Tic Tac Toe | Asabaal Ventures,Content Hub,Game Template,1,8,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
games_temp.html,,Content Hub,Standard Template,0,0,Missing H1 tag; Missing title tag,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,No
index.html,Asabaal Ventures - Choose Your Experience,Entry Point,Mode Selection,53,7,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
interact.html,Interact Mode | Asabaal Ventures,Content Page,Game Template,45,4,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
interactive-carrier-revenue-report.html,Interactive Carrier Revenue Report | Coming Soon,Content Page,Revenue Reporting,0,4,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
learn.html,Learn Mode | Asabaal Ventures,Content Page,Standard Template,45,4,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
legal-documents.html,Legal Documents | Asabaal Ventures,Content Page,Standard Template,0,5,,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes
life-is-your-word.html,Life is your Word | Asabaal's Amusements,Series Episode,Series Episode Template,1,8,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
life-is-your-word/season-0.html,Season 0: Pilot | Life is your Word,Series Episode,Series Episode Template,0,8,"Missing H1 tag; Footer element referenced but no .footer CSS defined; Missing image files: ../assets/images/icons/favicon.svg, ../assets/images/logos/Asabaal Ventures.png",,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
life-is-your-word/season-1.html,Season 1 | Life is your Word,Series Episode,Amusements Hub,0,7,"Missing image files: ../assets/images/icons/favicon.svg, ../assets/images/logos/Asabaal Ventures.png",,,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes
links.html,Connect with Asabaal - All Links,Utility Page,Standard Template,22,1,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
musical-poetry.html,Musical Poetry with Asabaal | Asabaal's Amusements,Series Episode,Amusements Hub,1,8,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
musical-poetry/musical-poetry-template.html,Musical Poetry with Asabaal | Episode Template,Series Episode,Amusements Hub,0,7,"Missing image files: ../assets/images/icons/favicon.svg, ../assets/images/logos/Asabaal Ventures.png, ../assets/images/profiles/in-love-and-unity.png",,,,Automated Scan,,,2026-02-07,N/A,Yes,No,Yes
musical-poetry/season-1.html,Season 1 | Musical Poetry with Asabaal,Series Episode,Series Episode Template,0,7,"Missing image files: ../assets/images/icons/favicon.svg, ../assets/images/logos/Asabaal Ventures.png, ../assets/shows/musical-poetry/logos/logo.png",,,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes
musical-poetry/season-1/episode-1.html,Episode 1: Who do you think I am? | Musical Poetry with Asabaal,Series Episode,Amusements Hub,0,7,"Missing image files: ../../assets/images/icons/favicon.svg, ../../assets/images/logos/Asabaal Ventures.png, ../../assets/shows/musical-poetry/logos/logo.png...",,,,Automated Scan,,,2026-02-07,Yes,N/A,No,Yes
navigation-graph-interactive.html,Website Navigation Graph - Interactive Visualization,Content Page,Standard Template,0,2,,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes
open-source-model.html,Kingdom Cooperative Business Model - Asabaal Ventures,Special Feature,Standard Template,0,8,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
pr_analysis.html,PR Analysis: brand-integration → main,Content Page,Blog Template,0,0,,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes
privacy.html,Privacy Policy - Asabaal Ventures,Utility Page,Supabase Integrated,2,5,,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes
products.html,Merch Store | Asabaal Ventures,Content Page,Standard Template,0,3,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
resume_cv/asabaal_horan_cv_202601.html,"Asabaal Horan, Ph.D. - Resume",Resume/CV,Resume Template,0,0,"Missing image files: ../assets/images/logos/Asabaal Ventures.png, ../assets/images/logos/springboard.png, ../assets/images/logos/Lehigh-University-logo.png...",,,,Automated Scan,,,2026-02-07,N/A,N/A,No,Yes
shows.html,Shows | Asabaal Ventures,Content Hub,Standard Template,0,10,,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
singles.html,Singles | Asabaal,Content Page,Standard Template,0,4,Missing H1 tag,,,,Automated Scan,,,2026-02-07,N/A,N/A,Yes,Yes
terms.html,Terms of Service - Asabaal Ventures,Utility Page,Supabase Integrated,1,5,,,,,Automated Scan,,,2026-02-07,N/A,N/A,N/A,Yes
vision_2054_page.html,Vision 2054: The Great Reconciliation | Asabaal Ventures,Special Feature,Standard Template,1,7,Missing H1 tag,,,,Automated Scan,,,2026-02-07,Yes,N/A,Yes,Yes
visualizations/complete-implementation-timeline.html,Complete Implementation Timeline - Music + Gaming + Finance Integration,Visualization,Visualization Template,0,0,,,,,Automated Scan,,,,N/A,N/A,N/A,Yes
visualizations/cooperative-kingdom-ecosystem-fixed.html,Kingdom Cooperative Ecosystem - Engineering Global Peace Through Distributed Power,Visualization,Visualization Template,1,0,,,,,Automated Scan,,,,N/A,N/A,N/A,Yes
visualizations/implementation-timeline.html,Enhanced Implementation Timeline - Music + Gaming Integration,Visualization,Visualization Template,0,0,,,,,Automated Scan,,,,N/A,N/A,N/A,Yes
visualizations/kingdom-power-distribution-model.html,Kingdom Power Distribution Model - Engineering Global Peace,Visualization,Visualization Template,0,0,,,,,Automated Scan,,,,N/A,N/A,N/A,Yes
